# Generated from Rime Essay. Do not edit manually.
# context<TAB>completion<TAB>weight...
一心挂	兩頭	188
一心挂兩	頭	188
一心爲	民	24	公	19
一忍	再忍	487
一忍再	忍	487
一快	一慢	19
一快一	慢	19
一念	之間	608	之差	556	三千	348	無明	331	間	21	及此	14
一念三	千	348
一念之	間	608	差	556
一念及	此	14
一念無	明	331
一忽	兒	473
一怒	之下	577
一怒之	下	577
一息	尚存	485
一息尚	存	485
一悲	一喜	10
一悲一	喜	10
一想	到	1471	之下	289	起	180
一想之	下	289
一意	孤行	711
一意孤	行	711
一愛	上	337
一感	冒	27
一應	俱全	870
一應俱	全	870
一懷	愁緒	10
一懷愁	緒	10
一成	不變	912
一成不	變	912
一截	一截	14	子	13
一截一	截	14
一戰	成名	408	之下	295	中	277	之力	211	成碩	143	封神	66
一戰之	下	295	力	211
一戰封	神	66
一戰成	名	408	碩	143
一戶	戶	397
一房	一廳	620
一房一	廳	620
一所	學校	727	大學	555	所	375
一所大	學	555
一所學	校	727
一扇	門	733	窗戶	76	扇	25
一扇窗	戶	76
一手	遮天	525	包辦	516	交錢	474	提拔	455	交貨	451	托兩家	328	房	98	把	48	一腳	20	包攬	12
一手一	腳	20
一手交	錢	474	貨	451
一手包	辦	516	攬	12
一手托	兩家	328
一手托兩	家	328
一手提	拔	455
一手遮	天	525
一扎	腳	143
一打	開	585	聽	114	一打	18
一打一	打	18
一批	批	584
一技	之長	719
一技之	長	719
一把	手	1392	刀	713	抓	640	汗	572	辛酸淚	426	火	353	年紀	342	好手	324	椅子	251	死拿	246
一把一	把	100
一把好	手	324
一把屎	一把尿	42
一把屎一	把尿	42
一把屎一把	尿	42
一把年	紀	342
一把手	槍	99
一把椅	子	251
一把死	拿	246
一把辛	酸淚	426
一把辛酸	淚	426
一把鑰匙	開一把鎖	390
一把鑰匙開	一把鎖	390
